Id,QuaternaryFaultDensity,HorizGravityGradient2,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient2,Heatflow,DEM-30m,X_83UTM11,Y_83UTM11,TrainCodeNeg,TrainCodePos,TrainCodePosT130,TrainCodePosT37,NAME,MAX_MAXT,Blind,POWER,E_utm83,N_utm83,Depth(m)
144,-1.193919036,2.280649212,-0.363620613,-1.301794194,-1.144675301,-0.386334454,-1.542368166,1.223731755,-1.163222773,-0.018550199,711577.6902,4271463.766,1,12,12,12,Saguaro Unit No. 1,-38.63924853,,,711520.2419,4271374.684,2112.263932
121,-0.385410038,2.098598661,-0.052316485,0.787963706,-0.168519734,-0.360607106,0.504901082,-1.032968782,-1.42028958,-0.895484711,629077.6902,4277963.766,1,12,12,12,Blue Eagle No. 1,-40.05622878,,,629123.8234,4277971.7,2747.467112
116,-1.375359889,1.061713211,-0.123881946,0.580087811,-0.269045719,-0.418577169,0.444984844,0.090229202,-1.594689182,-0.918697683,622327.6902,4279463.766,1,12,12,12,Duckwater Creek No. 8-12,-32.57559254,,,622341.7142,4279569.702,2101.291133
120,-0.724513178,0.440108507,-0.113221368,0.584405446,-0.10121252,-0.93698044,0.362734925,-0.486826643,-1.019281868,-0.833583451,627577.6902,4283713.766,1,12,12,12,Currant No. 1,-33.17522908,,,627481.8105,4283707.78,2375.611124
110,-1.228831986,0.269745152,-0.276940111,-0.648526621,-0.482929491,0.152102179,0.69488534,-0.81657284,-1.526227533,-0.384799319,613827.6902,4285963.766,1,12,12,12,Roulette No. 1,-29.25656653,,,613761.5867,4286053.8,2087.879933
130,-0.710182336,0.730875666,0.067155323,-0.824267845,0.757493534,0.232987401,0.142339957,-0.4353038,-0.98153817,-0.469913551,660327.6902,4287713.766,1,12,12,12,Cove Unit No. 1-18,-38.58196759,,,660222.0221,4287799.438,2168.956731
135,0.22125731,0.836060429,-0.039150953,-0.369320028,0.905376538,0.276367496,-0.325640324,-0.857791115,-0.982534475,-0.408012291,668077.6902,4287713.766,1,12,12,12,White River No. 2,-19.77531212,,,668196.0482,4287819.576,2307.335926
115,-1.142319904,0.100922965,-0.439943672,-0.111745909,-0.250063738,-1.001131749,0.308719793,-0.713527154,-1.087592176,-0.756206876,621077.6902,4295713.766,1,12,12,12,Koch No. 2-29,-37.72265607,,,620962.7064,4295680.977,2078.735933
119,1.224991097,-0.914771416,-0.60199063,-0.40226403,-0.367174534,-0.5203589,0.444984844,-1.043273351,-1.643686163,-0.260996799,624577.6902,4307963.766,1,12,12,12,Duckwater Federal No. 9-1,-42.24861417,,,624632.7429,4307906.196,2161.031931
87,0.448570156,-0.73111548,1.0263623,-0.288453879,0.518793559,1.288588272,1.82885514,-0.229212427,0.470189037,-0.655617329,409577.6902,4310213.766,1,12,12,12,Gigante No. 1-4,-36.08159472,,,409582.4422,4310286.403,1583.435949
133,0.403484469,-1.163991236,-0.645604066,-1.112020207,-0.020491704,0.710251975,0.01604934,-0.909313958,-0.804665433,-0.041763171,663827.6902,4315213.766,1,12,12,12,Shields Federal No. 13-22,-60.53684113,,,663740.016,4315210.749,2781.909511
142,1.697132789,-0.321228825,-0.236263644,-0.715607822,-0.753975899,0.30835962,-0.283636291,-0.445608369,-0.7193914,0.626254589,692077.6902,4319463.766,1,12,12,12,Titan Federal No. 1-9,-65.98703017,,,692021.9912,4319349.829,2347.264725
132,0.291331997,-0.746013444,-0.500509115,-0.855503459,-0.745937714,0.01118648,0.250526887,-0.81657284,-0.783502681,0.930602449,661077.6902,4342713.766,1,12,12,12,Giroux Wash No. 1-29,-38.21927297,,,661111.9306,4342609.933,2242.108728
127,1.378325512,-1.289532268,-0.813586678,-1.268894492,-0.949119803,0.462403506,0.118718128,-0.66200431,-0.697615123,0.930602449,643577.6902,4349463.766,1,12,12,12,Moorman Ranch Unit No. 2,-38.0629754,,,643521.8704,4349549.878,2380.183124
85,-0.843594006,1.180896923,1.344890861,-0.62439779,2.165967661,-0.844999603,0.899665705,-0.363171819,1.888486264,-1.604769977,356327.6902,4360713.766,1,12,12,12,82-36,0,,,356229,4360752,2742.7428
123,0.1602792,-1.01924981,-0.573083818,-1.304357339,-1.210578981,0.529283473,0.01604934,-0.74444086,-0.549075448,1.224633432,634077.6902,4363713.766,1,12,12,12,Illipah Federal No. 1,-58.30973748,,,634099.8355,4363773.006,2318.613526
125,1.05178549,-1.173751971,-0.811780569,-1.195382039,-0.878785437,0.196846603,-0.135656066,-0.960836802,-0.525946542,0.732002574,642077.6902,4365463.766,1,12,12,12,Federal White Pine Unit No. 1,-68.24961508,,,642121.881,4365500.016,3374.745492
84,-1.160743362,-0.721418961,0.96504537,-1.466583468,1.695830648,-0.924729322,-0.243842997,-0.466217506,0.748863139,-1.571240128,346577.6902,4365713.766,1,12,12,12,Reggie No. 1,-13.76695818,,,346529.0308,4365800.428,1879.09194
